1.83333, latitude, 43.1021, longitude, -16.1362
9.52604, latitude, 66.4518, longitude, -16.1364
42.0065, latitude, 66.6171, longitude, -16.1362
13.2083, latitude, 78.1718, longitude, -16.1363
2.63021, latitude, 81.0927, longitude, -17.7113
27.987, latitude, 75.1925, longitude, -17.711
5.24479, latitude, 69.4899, longitude, -17.711
0.570312, latitude, 45.9715, longitude, -17.7106
23.3997, latitude, 40.041, longitude, -17.7108
6.57422, latitude, 40.0413, longitude, -17.7108
6.35156, latitude, 28.3611, longitude, -17.7108
51.9128, latitude, 22.5222, longitude, -17.711
62.6497, latitude, 16.5137, longitude, -17.7108
42.1953, latitude, 16.5137, longitude, -17.711
51.2096, latitude, 4.82888, longitude, -17.7111
51.2292, latitude, 4.82907, longitude, -17.7108
40.4466, latitude, -1.18791, longitude, -17.7109
21.9232, latitude, -7.01153, longitude, -17.7108
20.9271, latitude, -12.8741, longitude, -17.7109
14.7995, latitude, -18.6045, longitude, -17.7106
1.90625, latitude, -24.6097, longitude, -17.7108
5.125, latitude, -30.4725, longitude, -17.7107
3.72917, latitude, -36.2523, longitude, -17.7106
5.55469, latitude, -42.0826, longitude, -17.711
3.72266, latitude, -53.8376, longitude, -17.7108
26.5026, latitude, -59.7251, longitude, -17.7105
27.5586, latitude, -65.6128, longitude, -17.7109
4.75651, latitude, -70.022, longitude, -19.3049
26.3906, latitude, -64.2734, longitude, -19.3049
11.6198, latitude, -58.4117, longitude, -19.3047
3.48698, latitude, -46.64, longitude, -19.305
0.565104, latitude, -40.8677, longitude, -19.3049
11.6185, latitude, -34.9058, longitude, -19.3047
5.85026, latitude, -29.1446, longitude, -19.3049
5.22396, latitude, -23.1136, longitude, -19.3048
14.4544, latitude, -17.2239, longitude, -19.3047
17.2852, latitude, -11.4108, longitude, -19.305
25.9753, latitude, -5.57974, longitude, -19.305
56.3112, latitude, 0.323385, longitude, -19.305
53.474, latitude, 6.19773, longitude, -19.3048
52.8776, latitude, 6.19773, longitude, -19.3048
52.5469, latitude, 11.9562, longitude, -19.3046
64.0534, latitude, 12.1368, longitude, -19.3048
38.4635, latitude, 23.8304, longitude, -19.305
0.701823, latitude, 23.8305, longitude, -19.3052
24.6693, latitude, 35.4356, longitude, -19.3047
7.80469, latitude, 35.6144, longitude, -19.3048
12.0469, latitude, 70.7208, longitude, -19.3047
8.45052, latitude, 70.7209, longitude, -19.3047
2.50911, latitude, 82.6651, longitude, -20.8302
2.99609, latitude, 71.016, longitude, -20.8303
15.0651, latitude, 47.4569, longitude, -20.8299
20.1276, latitude, 35.7667, longitude, -20.83
